model,df_len,epochs,seq_length,batch_size,learning_rate,hidden_size,rnn_layers,rnn_dropout,fc_dropout,conv_layers,kss,val_accuracy,time
lstm_fcn_class,199961,20,10,64,0.0001,200,1,0.4,0.6,"[128, 256, 128]","[5, 3, 3]",0.55,252.16349744796756
lstm_fcn_class,199961,20,10,32,0.01,50,4,0.4,0.0,"[64, 128, 64]","[3, 3, 3]",0.51,681.6823954582214
lstm_fcn_class,199961,20,50,128,0.01,200,4,0.4,0.6,"[128, 256, 128]","[7, 5, 3]",0.45,494.1076376438141
lstm_fcn_class,199961,20,40,32,0.0001,100,8,0.6,0.6,"[256, 512, 256]","[5, 3, 3]",0.45,1329.2446928024292
lstm_fcn_class,199961,20,30,32,0.001,200,1,0.0,0.0,"[256, 512, 256]","[5, 3, 3]",0.47,286.82288336753845
lstm_fcn_class,199961,20,5,64,1e-05,100,8,0.4,0.4,"[256, 512, 256]","[7, 7, 5]",0.61,537.8625409603119
lstm_fcn_class,199961,20,5,128,0.001,100,1,0.0,0.0,"[128, 256, 128]","[7, 7, 5]",0.61,99.61828064918518
lstm_fcn_class,199961,20,5,16,0.0001,100,2,0.2,0.0,"[256, 512, 256]","[3, 3, 3]",0.62,938.7787907123566
lstm_fcn_class,199961,20,10,128,0.0001,50,8,0.6,0.6,"[256, 512, 256]","[7, 5, 3]",0.56,190.75445008277893
lstm_fcn_class,199961,20,30,32,1e-05,200,8,0.0,0.2,"[64, 128, 64]","[3, 3, 3]",0.57,908.716063261032
lstm_fcn_class,199961,20,20,16,1e-06,25,2,0.2,0.2,"[256, 512, 256]","[3, 3, 3]",0.41,637.0173292160034
lstm_fcn_class,199961,20,5,16,1e-05,100,2,0.2,0.4,"[256, 512, 256]","[7, 7, 5]",0.59,733.6418559551239
lstm_fcn_class,199961,20,5,64,1e-05,100,2,0.2,0.4,"[256, 512, 256]","[7, 7, 5]",0.61,413.73539686203
lstm_fcn_class,199961,20,5,16,1e-06,100,8,0.2,0.4,"[256, 512, 256]","[3, 3, 3]",0.56,1985.7581701278689
lstm_fcn_class,199961,20,5,64,0.0001,25,2,0.4,0.0,"[256, 512, 256]","[7, 7, 5]",0.5,388.8936188220978
lstm_fcn_class,199961,20,20,16,1e-05,100,8,0.2,0.4,"[64, 128, 64]","[7, 7, 5]",0.34,1087.3584806919098
lstm_fcn_class,199961,20,40,64,0.0001,100,2,0.4,0.0,"[256, 512, 256]","[3, 3, 3]",0.62,246.3301351070404
lstm_fcn_class,199961,20,40,16,0.0001,100,2,0.6,0.0,"[256, 512, 256]","[3, 3, 3]",0.45,1420.0488924980164
lstm_fcn_class,199961,20,40,64,0.0001,50,2,0.2,0.0,"[128, 256, 128]","[3, 3, 3]",0.47,138.90267038345337
lstm_fcn_class,199961,20,50,16,0.0001,100,2,0.4,0.0,"[64, 128, 64]","[3, 3, 3]",0.51,1402.4736256599426
lstm_fcn_class,199961,20,40,64,0.0001,25,2,0.2,0.0,"[256, 512, 256]","[3, 3, 3]",0.54,402.31315517425537
lstm_fcn_class,199961,20,5,64,1e-05,100,4,0.4,0.4,"[256, 512, 256]","[7, 5, 3]",0.5,213.40607738494876
lstm_fcn_class,199961,20,5,64,0.01,100,8,0.4,0.2,"[256, 512, 256]","[7, 7, 5]",0.52,397.0166525840759
lstm_fcn_class,199961,20,40,64,1e-06,100,2,0.4,0.4,"[256, 512, 256]","[3, 3, 3]",0.52,229.99904465675357
lstm_fcn_class,199961,20,5,64,0.001,100,2,0.4,0.0,"[256, 512, 256]","[3, 3, 3]",0.54,181.8606848716736
lstm_fcn_class,199961,20,50,64,1e-05,100,8,0.4,0.0,"[256, 512, 256]","[7, 7, 5]",0.46,358.7359652519226
lstm_fcn_class,199961,20,30,16,0.0001,100,1,0.0,0.4,"[256, 512, 256]","[5, 3, 3]",0.67,1618.5875539779663
lstm_fcn_class,199961,20,30,16,0.0001,50,1,0.0,0.2,"[256, 512, 256]","[5, 3, 3]",0.52,671.8014440536499
lstm_fcn_class,199961,20,30,16,0.0001,25,1,0.0,0.0,"[64, 128, 64]","[5, 3, 3]",0.44,487.9086587429047
lstm_fcn_class,199961,20,30,16,0.0001,200,1,0.0,0.6,"[128, 256, 128]","[5, 3, 3]",0.37,582.3205051422119
lstm_fcn_class,199961,20,20,16,0.0001,100,1,0.0,0.4,"[128, 256, 128]","[5, 3, 3]",0.66,491.9237780570984
lstm_fcn_class,199961,20,20,16,0.0001,100,1,0.0,0.4,"[128, 256, 128]","[5, 3, 3]",0.42,491.0284512042999
lstm_fcn_class,199961,20,20,16,0.0001,100,1,0.0,0.4,"[128, 256, 128]","[5, 3, 3]",0.55,490.3172795772553
lstm_fcn_class,199961,20,10,16,0.0001,100,1,0.0,0.4,"[128, 256, 128]","[5, 3, 3]",0.48,890.4190683364868
lstm_fcn_class,199961,20,20,128,0.01,100,4,0.0,0.4,"[128, 256, 128]","[5, 3, 3]",0.57,118.6309461593628
lstm_fcn_class,199961,20,40,32,0.0001,50,1,0.6,0.6,"[128, 256, 128]","[7, 5, 3]",0.44,625.7689232826233
lstm_fcn_class,199961,20,30,16,0.0001,200,4,0.0,0.0,"[256, 512, 256]","[5, 3, 3]",0.47,1906.217206478119
lstm_fcn_class,199961,20,10,16,0.001,100,1,0.0,0.0,"[128, 256, 128]","[5, 3, 3]",0.56,799.7738287448883
lstm_fcn_class,199961,20,20,128,0.0001,100,1,0.6,0.4,"[64, 128, 64]","[3, 3, 3]",0.61,63.53314232826233
lstm_fcn_class,199961,20,50,32,0.01,100,2,0.2,0.6,"[256, 512, 256]","[7, 5, 3]",0.57,372.3658812046051
lstm_fcn_class,199961,20,30,16,0.0001,200,1,0.0,0.0,"[256, 512, 256]","[5, 3, 3]",0.66,939.3288285732268
lstm_fcn_class,199961,20,30,16,0.0001,200,1,0.0,0.0,"[256, 512, 256]","[5, 3, 3]",0.39,1104.0723338127136
lstm_fcn_class,199961,20,30,16,0.0001,200,1,0.0,0.0,"[256, 512, 256]","[5, 3, 3]",0.58,1294.6123666763306
lstm_fcn_class,199961,20,30,16,0.0001,200,1,0.0,0.0,"[256, 512, 256]","[5, 3, 3]",0.5,1478.0855309963226
lstm_fcn_class,199961,20,30,16,0.0001,200,1,0.0,0.2,"[256, 512, 256]","[3, 3, 3]",0.56,845.5552036762238
lstm_fcn_class,199961,20,40,128,1e-06,200,2,0.2,0.0,"[256, 512, 256]","[5, 3, 3]",0.54,359.575923204422
lstm_fcn_class,199961,20,20,32,0.001,25,4,0.0,0.4,"[256, 512, 256]","[3, 3, 3]",0.54,651.8991303443909
lstm_fcn_class,199961,20,10,16,0.0001,100,1,0.6,0.0,"[256, 512, 256]","[5, 3, 3]",0.35,490.40582251548767
lstm_fcn_class,199961,20,30,16,0.0001,50,2,0.2,0.4,"[128, 256, 128]","[3, 3, 3]",0.33,554.7903242111206
lstm_fcn_class,199961,20,40,16,0.0001,100,1,0.4,0.0,"[64, 128, 64]","[5, 3, 3]",0.5,499.2140893936157
lstm_fcn_class,199961,20,5,16,1e-06,100,2,0.0,0.6,"[256, 512, 256]","[7, 5, 3]",0.54,880.5169107913971
lstm_fcn_class,199961,20,5,64,1e-05,100,8,0.4,0.4,"[256, 512, 256]","[7, 7, 5]",0.53,223.51568913459775
lstm_fcn_class,199961,20,5,64,1e-05,100,8,0.4,0.4,"[256, 512, 256]","[7, 7, 5]",0.59,646.5235166549683
lstm_fcn_class,199961,20,5,64,1e-05,100,8,0.4,0.4,"[256, 512, 256]","[7, 7, 5]",0.57,663.748960018158
lstm_fcn_class,199961,20,5,64,0.01,100,8,0.4,0.4,"[256, 512, 256]","[3, 3, 3]",0.53,491.4815835952759
lstm_fcn_class,199961,20,50,64,0.0001,100,2,0.2,0.2,"[256, 512, 256]","[7, 7, 5]",0.6,721.7431871891022
lstm_fcn_class,199961,20,20,128,1e-05,25,2,0.4,0.0,"[256, 512, 256]","[3, 3, 3]",0.37,141.80461883544922
lstm_fcn_class,199961,20,40,32,0.0001,100,8,0.2,0.4,"[256, 512, 256]","[3, 3, 3]",0.61,1370.1443881988523
lstm_fcn_class,199961,20,5,64,0.001,200,1,0.4,0.0,"[64, 128, 64]","[5, 3, 3]",0.45,240.8830647468567
lstm_fcn_class,199961,20,30,16,0.0001,50,2,0.0,0.4,"[256, 512, 256]","[7, 7, 5]",0.53,994.7161662578583
lstm_fcn_class,199961,20,5,16,1e-05,100,4,0.6,0.0,"[128, 256, 128]","[3, 3, 3]",0.5,1407.3928174972534
lstm_fcn_class,199961,20,5,128,0.001,100,1,0.0,0.0,"[128, 256, 128]","[7, 7, 5]",0.51,111.41332411766052
lstm_fcn_class,199961,20,5,128,0.001,100,1,0.0,0.0,"[128, 256, 128]","[7, 7, 5]",0.59,81.30644011497498
lstm_fcn_class,199961,20,5,128,0.001,100,1,0.0,0.0,"[128, 256, 128]","[7, 7, 5]",0.46,131.15844678878784
lstm_fcn_class,199961,20,40,64,0.0001,100,1,0.0,0.0,"[128, 256, 128]","[7, 7, 5]",0.53,336.4345772266388
lstm_fcn_class,199961,20,20,128,1e-06,100,8,0.4,0.4,"[256, 512, 256]","[5, 3, 3]",0.61,247.39084005355835
lstm_fcn_class,199961,20,30,16,0.001,100,1,0.0,0.2,"[128, 256, 128]","[7, 7, 5]",0.48,577.321878194809
lstm_fcn_class,199961,20,10,64,0.0001,25,2,0.2,0.0,"[256, 512, 256]","[7, 5, 3]",0.54,171.8282949924469
lstm_fcn_class,199961,20,5,16,0.0001,100,1,0.0,0.4,"[128, 256, 128]","[5, 3, 3]",0.45,1100.923510313034
lstm_fcn_class,199961,20,50,16,0.01,200,2,0.4,0.6,"[64, 128, 64]","[3, 3, 3]",0.48,1134.486064195633
lstm_fcn_class,199961,20,30,128,1e-05,100,1,0.0,0.0,"[256, 512, 256]","[5, 3, 3]",0.54,83.00764989852905
lstm_fcn_class,199961,20,5,64,1e-05,100,2,0.2,0.4,"[256, 512, 256]","[7, 7, 5]",0.55,179.63985896110535
lstm_fcn_class,199961,20,5,64,1e-05,100,2,0.2,0.4,"[256, 512, 256]","[7, 7, 5]",0.54,180.0354425907135
lstm_fcn_class,199961,20,5,64,1e-05,100,2,0.2,0.4,"[256, 512, 256]","[7, 7, 5]",0.63,180.45138359069824
lstm_fcn_class,199961,20,5,64,1e-05,100,2,0.2,0.4,"[256, 512, 256]","[7, 7, 5]",0.55,157.49248456954956
lstm_fcn_class,199961,20,20,64,0.0001,100,2,0.2,0.4,"[256, 512, 256]","[7, 7, 5]",0.53,262.5867831707001
lstm_fcn_class,199961,20,40,16,0.0001,50,4,0.2,0.4,"[256, 512, 256]","[5, 3, 3]",0.48,2097.920483827591
lstm_fcn_class,199961,20,5,32,0.0001,100,1,0.0,0.0,"[256, 512, 256]","[3, 3, 3]",0.46,275.2896740436554
lstm_fcn_class,199961,20,30,64,1e-05,200,8,0.6,0.4,"[128, 256, 128]","[5, 3, 3]",0.5,430.33722591400146
lstm_fcn_class,199961,20,5,16,0.001,100,2,0.0,0.0,"[256, 512, 256]","[7, 5, 3]",0.48,958.9135777950287
lstm_fcn_class,199961,20,20,16,0.0001,100,1,0.4,0.2,"[256, 512, 256]","[7, 7, 5]",0.48,735.2401111125946
lstm_fcn_class,199961,20,5,64,1e-05,100,2,0.2,0.4,"[256, 512, 256]","[7, 7, 5]",0.53,292.3935594558716
lstm_fcn_class,199961,20,5,64,1e-05,100,2,0.2,0.4,"[256, 512, 256]","[7, 7, 5]",0.49,316.74489974975586
lstm_fcn_class,199961,20,5,64,1e-05,100,2,0.2,0.4,"[256, 512, 256]","[7, 7, 5]",0.59,203.03648281097412
lstm_fcn_class,199961,20,40,64,1e-06,100,2,0.2,0.4,"[256, 512, 256]","[3, 3, 3]",0.62,140.45895957946777
lstm_fcn_class,199961,20,40,64,1e-06,100,2,0.2,0.4,"[256, 512, 256]","[3, 3, 3]",0.56,140.10952258110046
lstm_fcn_class,199961,20,40,64,1e-06,25,1,0.0,0.6,"[256, 512, 256]","[3, 3, 3]",0.57,189.21286535263062
lstm_fcn_class,199961,20,40,16,1e-06,200,2,0.2,0.0,"[128, 256, 128]","[3, 3, 3]",0.54,1055.4056091308594
lstm_fcn_class,199961,20,40,128,1e-06,100,8,0.4,0.4,"[64, 128, 64]","[3, 3, 3]",0.46,502.90520572662354
lstm_fcn_class,199961,20,30,16,0.0001,100,1,0.0,0.0,"[256, 512, 256]","[5, 3, 3]",0.71,894.3125460147858
lstm_fcn_class,199961,20,30,16,0.0001,100,1,0.0,0.4,"[256, 512, 256]","[5, 3, 3]",0.55,903.4827201366425
lstm_fcn_class,199961,20,30,16,0.0001,100,1,0.0,0.0,"[256, 512, 256]","[5, 3, 3]",0.42,816.3224639892578
lstm_fcn_class,199961,20,30,16,0.0001,100,1,0.0,0.0,"[256, 512, 256]","[5, 3, 3]",0.62,978.0297870635986
lstm_fcn_class,199961,20,30,16,0.0001,100,1,0.0,0.0,"[256, 512, 256]","[5, 3, 3]",0.54,1462.825749874115
lstm_fcn_class,199961,20,30,16,0.0001,100,1,0.0,0.0,"[256, 512, 256]","[5, 3, 3]",0.58,1057.8485383987427
lstm_fcn_class,199961,20,30,16,0.0001,100,1,0.0,0.0,"[256, 512, 256]","[5, 3, 3]",0.51,1219.2057583332062
lstm_fcn_class,199961,20,30,16,0.0001,50,4,0.4,0.0,"[256, 512, 256]","[5, 3, 3]",0.44,619.7389249801636
lstm_fcn_class,199961,20,30,16,0.0001,100,2,0.6,0.0,"[256, 512, 256]","[5, 3, 3]",0.7,991.5466711521149
lstm_fcn_class,199961,20,30,16,0.0001,100,2,0.6,0.0,"[256, 512, 256]","[5, 3, 3]",0.51,1351.281536102295
lstm_fcn_class,199961,20,30,16,0.0001,100,2,0.6,0.0,"[256, 512, 256]","[5, 3, 3]",0.45,901.171228647232
