model,df_len,epochs,seq_length,batch_size,learning_rate,num_features,max_dilations_per_kernel,kernel_size,max_num_channels,dropout,val_accuracy,time
mini_rocket_class,39993,20,40,32,1e-06,2500,16,4,8,0.2,0.46,27.681273460388184
mini_rocket_class,39993,20,50,128,0.001,10000,32,2,12,0.6,0.45,30.764451503753662
mini_rocket_class,39993,20,20,16,0.001,5000,8,6,12,0.4,0.46,31.921544075012207
mini_rocket_class,39993,20,30,128,0.0001,5000,32,8,2,0.4,0.48,36.106204986572266
mini_rocket_class,39993,20,50,64,0.0001,5000,64,4,16,0.0,0.47,46.675825119018555
mini_rocket_class,39993,20,40,128,1e-06,1000,16,2,8,0.6,0.45,20.978379726409912
mini_rocket_class,39993,20,40,32,0.001,10000,8,2,4,0.4,0.45,30.759714603424072
mini_rocket_class,39993,20,40,128,1e-05,5000,64,4,4,0.6,0.48,46.549933195114136
mini_rocket_class,39993,20,20,16,1e-05,2500,8,6,12,0.4,0.47,76.45036172866821
mini_rocket_class,39993,20,50,32,0.001,10000,64,4,2,0.2,0.47,37.788588762283325
mini_rocket_class,39993,20,30,64,0.01,1000,32,8,2,0.0,0.46,37.259398221969604
mini_rocket_class,39993,20,30,128,1e-05,5000,64,8,4,0.6,0.49,56.822614908218384
mini_rocket_class,39993,20,30,128,0.0001,5000,32,8,4,0.6,0.48,35.56917071342468
mini_rocket_class,39993,20,30,128,0.0001,5000,64,8,2,0.4,0.46,35.289225339889526
mini_rocket_class,39993,20,30,128,1e-05,5000,32,8,16,0.4,0.55,91.56272268295288
mini_rocket_class,39993,20,30,128,1e-05,5000,64,8,16,0.6,0.45,75.95148587226868
mini_rocket_class,39993,20,30,128,1e-05,5000,32,8,16,0.0,0.6,102.34019804000854
mini_rocket_class,39993,20,30,16,1e-05,2500,32,8,16,0.0,0.52,64.20548868179321
mini_rocket_class,39993,20,30,64,0.01,1000,32,8,16,0.0,0.46,58.02435851097107
mini_rocket_class,39993,20,20,128,1e-05,5000,32,6,16,0.0,0.44,82.35685706138611
mini_rocket_class,39993,20,30,128,1e-05,5000,32,8,16,0.2,0.4,73.84398150444031
mini_rocket_class,39993,20,30,16,1e-05,2500,32,8,16,0.0,0.62,91.99748063087463
mini_rocket_class,39993,20,30,16,1e-05,2500,32,8,16,0.0,0.54,59.95539093017578
mini_rocket_class,39993,20,30,16,1e-05,2500,32,8,16,0.0,0.55,88.02035117149353
mini_rocket_class,39993,20,30,16,1e-05,2500,16,8,16,0.0,0.5,86.03435063362122
mini_rocket_class,39993,20,30,16,1e-05,2500,32,8,16,0.4,0.6,65.76701712608337
mini_rocket_class,39993,20,30,16,0.01,2500,32,8,8,0.0,0.5,46.333760023117065
mini_rocket_class,39993,20,20,16,1e-06,2500,32,6,16,0.0,0.43,40.3763689994812
mini_rocket_class,39993,20,50,16,1e-05,2500,32,2,16,0.4,0.45,23.211930751800537
mini_rocket_class,39993,20,40,32,1e-06,2500,16,4,8,0.2,0.45,28.28770089149475
mini_rocket_class,39993,20,30,16,1e-05,2500,8,8,16,0.2,0.58,83.41126322746277
mini_rocket_class,39993,20,30,16,1e-05,2500,8,8,16,0.2,0.62,89.15035700798035
mini_rocket_class,39993,20,30,16,1e-05,2500,8,8,16,0.2,0.52,92.79300308227539
mini_rocket_class,39993,20,30,16,1e-05,10000,8,8,12,0.2,0.52,61.14003586769104
mini_rocket_class,39993,20,30,16,1e-05,2500,8,8,16,0.2,0.6,95.02328062057495
mini_rocket_class,39993,20,50,64,0.001,2500,32,2,16,0.4,0.45,22.993274450302124
mini_rocket_class,39993,20,30,16,1e-05,1000,16,8,12,0.0,0.45,24.939465284347534
mini_rocket_class,39993,20,20,32,1e-06,10000,8,6,8,0.4,0.48,100.6376383304596
mini_rocket_class,39993,20,40,16,0.0001,2500,32,4,16,0.0,0.55,50.237958669662476
mini_rocket_class,39993,20,30,16,0.01,2500,8,2,16,0.2,0.45,22.98889136314392
mini_rocket_class,39993,20,50,64,0.001,1000,32,8,12,0.4,0.44,28.749672412872314
mini_rocket_class,39993,20,30,16,1e-05,2500,8,8,16,0.2,0.45,50.15351366996765
mini_rocket_class,39993,20,30,16,1e-05,2500,8,8,16,0.2,0.54,93.89679384231567
mini_rocket_class,39993,20,30,16,1e-05,2500,8,8,16,0.2,0.44,83.42709922790527
mini_rocket_class,39993,20,30,16,1e-05,2500,8,8,4,0.2,0.46,69.37705588340759
mini_rocket_class,39993,20,40,32,1e-05,10000,8,8,2,0.2,0.44,54.05900573730469
mini_rocket_class,39993,20,30,16,1e-05,2500,16,4,16,0.6,0.44,70.72024846076965
mini_rocket_class,39993,20,30,128,0.0001,5000,32,8,16,0.4,0.46,35.659690141677856
mini_rocket_class,39993,20,20,16,1e-05,2500,64,6,2,0.0,0.6,93.59597110748291
mini_rocket_class,39993,20,30,64,0.001,5000,8,8,4,0.4,0.53,30.257774829864502
mini_rocket_class,39993,20,30,128,1e-05,1000,32,2,16,0.6,0.45,20.888298988342285
mini_rocket_class,39993,20,20,16,1e-05,2500,64,6,2,0.0,0.42,42.25330305099487
mini_rocket_class,39993,20,20,16,1e-05,2500,64,6,2,0.0,0.53,91.76435136795044
mini_rocket_class,39993,20,20,16,1e-05,2500,64,6,2,0.0,0.46,73.4834361076355
mini_rocket_class,39993,20,20,16,1e-05,2500,64,6,2,0.0,0.47,54.88084173202515
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.6,91.61653256416321
mini_rocket_class,39993,20,30,128,0.01,5000,32,6,2,0.0,0.55,102.3671007156372
mini_rocket_class,39993,20,50,32,1e-05,2500,64,8,8,0.2,0.45,79.84751486778259
mini_rocket_class,39993,20,30,16,1e-06,10000,32,8,16,0.0,0.57,32.94201111793518
mini_rocket_class,39993,20,40,128,0.0001,5000,32,4,16,0.4,0.55,49.21151804924011
mini_rocket_class,39993,20,30,16,1e-05,2500,8,8,4,0.0,0.52,63.95477271080017
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.54,75.2308599948883
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.61,96.59414625167847
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.51,59.47477102279663
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.57,27.388338565826416
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.55,98.58022975921631
mini_rocket_class,39993,20,30,16,1e-05,2500,16,8,12,0.6,0.54,93.04492473602295
mini_rocket_class,39993,20,30,128,1e-05,2500,32,6,16,0.2,0.45,89.11436629295349
mini_rocket_class,39993,20,20,64,0.01,5000,32,8,16,0.0,0.53,41.48092293739319
mini_rocket_class,39993,20,30,16,1e-05,1000,8,2,2,0.4,0.45,19.959505081176758
mini_rocket_class,39993,20,30,16,0.001,2500,64,8,8,0.2,0.52,32.078933238983154
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.64,73.2533597946167
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.55,91.12825441360474
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.51,93.79805135726929
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.54,74.58147096633911
mini_rocket_class,39993,20,50,16,1e-06,2500,32,8,16,0.0,0.38,27.332363605499268
mini_rocket_class,39993,20,20,32,1e-05,2500,8,8,16,0.0,0.53,68.66989207267761
mini_rocket_class,39993,20,40,16,1e-05,5000,64,4,16,0.2,0.56,88.82873368263245
mini_rocket_class,39993,20,30,128,1e-05,10000,32,8,12,0.4,0.39,72.1317355632782
mini_rocket_class,39993,20,30,16,1e-05,2500,16,8,16,0.0,0.5,78.38767123222351
mini_rocket_class,39993,20,20,16,0.0001,2500,8,6,16,0.2,0.53,37.72014236450195
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.55,68.24478769302368
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.49,72.86013412475586
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.53,73.57647943496704
mini_rocket_class,39993,20,20,16,1e-05,2500,64,8,16,0.0,0.49,89.77093505859375
mini_rocket_class,39993,20,30,64,1e-05,2500,64,8,4,0.6,0.43,113.08316731452942
mini_rocket_class,39993,20,20,16,1e-05,1000,32,8,16,0.0,0.43,79.16267919540405
mini_rocket_class,39993,20,30,16,0.001,2500,8,2,2,0.0,0.45,23.038594722747803
mini_rocket_class,39993,20,30,128,1e-05,5000,32,8,16,0.4,0.53,72.31984615325928
mini_rocket_class,39993,20,50,16,0.01,2500,64,6,8,0.2,0.47,46.958144426345825
mini_rocket_class,39993,20,20,32,1e-05,2500,32,8,16,0.0,0.48,69.12637639045715
mini_rocket_class,39993,20,30,16,1e-05,2500,8,8,16,0.2,0.51,27.52388596534729
mini_rocket_class,39993,20,30,16,1e-05,2500,8,8,16,0.2,0.5,77.94696021080017
mini_rocket_class,39993,20,30,16,1e-05,2500,8,8,16,0.2,0.55,27.51756978034973
mini_rocket_class,39993,20,30,16,1e-06,2500,8,8,16,0.2,0.44,31.95812177658081
mini_rocket_class,39993,20,30,16,1e-05,2500,8,8,16,0.2,0.57,88.10168838500977
mini_rocket_class,39993,20,40,16,1e-05,10000,64,4,2,0.0,0.5,90.60897207260132
mini_rocket_class,39993,20,30,16,1e-05,2500,16,8,16,0.4,0.48,67.84490132331848
mini_rocket_class,39993,20,20,128,0.0001,5000,8,8,12,0.0,0.44,37.91722846031189
mini_rocket_class,39993,20,30,16,1e-05,2500,32,6,16,0.2,0.57,92.54472064971924
